,Asset Type,delta,z_c,z_c_d,z_c_e,z_nc,rho_c,rho_c_d,rho_c_e,rho_nc,metr_c,metr_c_d,metr_c_e,mettr_c,mettr_c_d,mettr_c_e,mettr_nc,Economic deprecia- tion rate [],Corporate: total [z(c)],"Corporate: debt-financed [z(c,d)]","Corporate: equity-financed [z(c,e)]",Non-corporate [z(n)],Corporate: total [(c)],"Corporate: debt-financed [(c,d)]","Corporate: equity-financed [(c,e)]",Non-corporate [(n)],Corporate: total [ETR(c)],"Corporate: debt-financed [ETR(c,d)]","Corporate: equity-financed [ETR(c,e)]",Corporate: total [ETTR(c)],"Corporate: debt-financed [ETTR(c,d)]","Corporate: equity-financed [ETTR(c,e)]",Non-corporate [ETTR(n)],delta_diff,z_c_diff,z_c_d_diff,z_c_e_diff,z_nc_diff,rho_c_diff,rho_c_d_diff,rho_c_e_diff,rho_nc_diff,metr_c_diff,metr_c_d_diff,metr_c_e_diff,mettr_c_diff,mettr_c_d_diff,mettr_c_e_diff,mettr_nc_diff
10,Autos,0.3333,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0919138319326,0.0578306118001,0.115861434572,0.0854762146947,0.309788323845,0.0662384796019,0.395830025251,0.386260915815,0.2237369459,0.444024848075,0.331008278296,0.3333,0.869633569056,0.91105132345,0.842582289272,0.863934849279,0.0802328017643,0.0461429392654,0.104185072243,0.0741728476868,0.209300951669,-0.170276554976,0.328118717076,0.296908788215,0.0271151328657,0.381717058782,0.22906119586,0.0,9.11722518168e-05,6.32252532059e-05,0.000108848328079,0.00280586950284,0.0116810301683,0.0116876725347,0.0116763623296,0.0113033670079,0.100487372177,0.236515034578,0.0677113081748,0.0893521275999,0.196621813034,0.0623077892934,0.101947082436
11,Aircraft,0.0859,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0745591632401,0.0459897022189,0.0949054739644,0.073467280959,0.149132081919,-0.174175900139,0.262423998575,0.243404719383,0.0238734940546,0.321260660762,0.221655146523,0.0859157578608,0.828206405919,0.881296314464,0.794289754862,0.826084928636,0.0659682874753,0.0361323294408,0.0872703293379,0.063853704998,0.0383258012608,-0.494506466529,0.19789462775,0.144877334606,-0.2424266033,0.261881404757,0.104472849351,-1.57578607829e-05,0.0415183353892,0.0298182342398,0.048401382738,0.0406557901461,0.00859087576483,0.00985737277814,0.00763514462647,0.00961357596094,0.110806280658,0.32033056639,0.0645293708253,0.0985273847771,0.266300097354,0.0593792560055,0.117182297172
12,Ships and boats,0.0611,0.764483589149,0.834024816605,0.721587762614,0.75965221692,0.0792914621348,0.0485344756085,0.101353762327,0.076789585247,0.199913858416,-0.112611176344,0.309349762723,0.288560085595,0.0750540358456,0.364443142417,0.255330265824,0.0611,0.764914197889,0.834344799476,0.722078475492,0.761893499712,0.0675649811548,0.0368189859761,0.0896191217724,0.0649946902703,0.0610520580977,-0.46663463342,0.218916693049,0.16508556869,-0.219255939464,0.281226465699,0.120193876492,0.0,-0.000430608739087,-0.000319982870908,-0.000490712877645,-0.00224128279177,0.01172648098,0.0117154896324,0.0117346405544,0.0117948949767,0.138861800319,0.354023457076,0.0904330696732,0.123474516905,0.294309975309,0.0832166767186,0.135136389332
13,Railroad equipment,0.0589,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0753643457084,0.046215281311,0.0962396596201,0.0740476201209,0.158222639582,-0.168444689034,0.272649131591,0.251488080949,0.0286380161928,0.330670131805,0.22775532907,0.0589,0.824971055372,0.878972703954,0.790518037171,0.821136549783,0.0636643457084,0.034515281311,0.0845396596201,0.0623474432396,0.00352388304445,-0.564524406262,0.171986256929,0.113931397713,-0.300634548853,0.238039836133,0.082837667047,0.0,0.0,0.0,-1.11022302463e-16,-3.21722261165e-07,0.0117,0.0117,0.0117,0.0117001768813,0.154698756538,0.396079717228,0.100662874663,0.137556683236,0.329272565046,0.0926302956714,0.144917662023
14,Household furniture,0.1375,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.078178811197,0.0484593502965,0.0992762402028,0.0759719736864,0.188526929117,-0.114336029469,0.294896746119,0.27843478085,0.0736201153797,0.351143047349,0.24731611858,0.1375,0.869724741308,0.911114548704,0.8426911376,0.866740969384,0.066478811197,0.0367593502965,0.0875762402028,0.0642717951297,0.0457109738018,-0.469013994112,0.200696446457,0.151444245142,-0.221233971067,0.264459712495,0.110298282787,0.0,-1.11022302463e-16,-1.11022302463e-16,1.11022302463e-16,-2.50601807084e-07,0.0117,0.0117,0.0117,0.0117001785567,0.142815955315,0.354677964644,0.0942002996623,0.126990535709,0.294854086447,0.0866833348535,0.137017835794
15,Other furniture,0.1179,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0809248806415,0.0500602254084,0.102894740439,0.0778916051132,0.216063100779,-0.0787006962002,0.319693118412,0.302920058862,0.103244802232,0.373961405474,0.265865943444,0.1179,0.824963559813,0.878967400963,0.790509208708,0.820927675805,0.0692255708418,0.0383606443039,0.0911956336759,0.0662045709473,0.0835756321181,-0.407692727269,0.232419391385,0.185113576799,-0.170255822106,0.293652006123,0.136272228985,0.0,7.49555899215e-06,5.30299122659e-06,8.82846283701e-06,0.00020855225547,0.0116993097997,0.0116995811045,0.0116991067633,0.0116870341659,0.13248746866,0.328992031069,0.0872737270272,0.117806482063,0.273500624338,0.0803093993515,0.129593714459
16,Farm tractors,0.1452,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0834978061276,0.0518393266603,0.105974125293,0.0796702625757,0.240219558547,-0.0416801968488,0.33946140337,0.324400081266,0.134021017854,0.392152768323,0.282255659958,0.1452,0.813969839982,0.871189515435,0.777560521748,0.799552707671,0.0729725294469,0.0408685515539,0.0957756023106,0.0695435171675,0.130631753061,-0.321309367394,0.26912493045,0.226955975832,-0.0984428277868,0.327429414765,0.177741810821,0.0,0.0110012153907,0.00778318851968,0.0129575154224,0.0215835203893,0.0105252766806,0.0109707751064,0.0101985229821,0.0101267454082,0.109587805486,0.279629170545,0.07033647292,0.0974441054339,0.232463845641,0.0647233535579,0.104513849137
17,Construction tractors,0.1633,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0799886351754,0.0496941743353,0.101461623322,0.0772243200501,0.206887330171,-0.0866464876888,0.310083973545,0.294760925593,0.0966392351432,0.365118785018,0.25952238885,0.1633,0.869701634461,0.91109852479,0.842663550898,0.866260355095,0.068291327756,0.0379958318242,0.0897650888483,0.0655623441737,0.0710387089457,-0.421208522287,0.22018681318,0.17396571906,-0.181491894797,0.282395263863,0.127811440912,0.0,2.31068477057e-05,1.60239137226e-05,2.75867019827e-05,0.000480363686471,0.0116973074195,0.011698342511,0.0116965344736,0.0116619758764,0.135848621225,0.334562034598,0.0898971603645,0.120795206533,0.278131129941,0.0827235211555,0.131710947938
18,Mining and oilfield machinery,0.15,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0839501886306,0.0521521356716,0.106515555597,0.0799829935581,0.244313788512,-0.03543218901,0.342818993828,0.328040687527,0.139215168117,0.395242522768,0.285062017692,0.15,0.824971055372,0.878972703954,0.790518037171,0.821136549783,0.0722501886306,0.0404521356716,0.0948155555967,0.0682828060009,0.121940008706,-0.334910978208,0.261724518098,0.219227258966,-0.10975024164,0.32061935943,0.162560389002,0.0,1.11022302463e-16,-1.11022302463e-16,1.11022302463e-16,-3.21722261165e-07,0.0117,0.0117,0.0117,0.0117001875572,0.122373779806,0.299478789198,0.0810944757305,0.108813428561,0.248965409757,0.0746231633383,0.122501628691
19,Service industry machinery,0.1528,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.084214078424,0.0523346075949,0.106831389941,0.0801654199646,0.246681775931,-0.0318220099788,0.344761871592,0.330146311758,0.14221641473,0.397030416581,0.286688948194,0.152834865011,0.825414544036,0.879291306662,0.7910349458,0.821624593871,0.0724681848411,0.0406057192724,0.0950732998087,0.0684305683854,0.124581357473,-0.32986192506,0.263725986782,0.221575951694,-0.10555281721,0.322461163892,0.164368675513,-3.48650114603e-05,-0.00044348866337,-0.000318602707887,-0.000516908629472,-0.000488365810545,0.011745893583,0.0117288883225,0.011758090132,0.0117348515791,0.122100418458,0.298039915081,0.0810358848091,0.108570360064,0.24776923194,0.0745692526885,0.122320272681
20,Household appliances,0.165,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.080107887143,0.0497755387099,0.101605621434,0.0773068389966,0.208067991024,-0.0848702274166,0.311061740367,0.295810774119,0.098115891863,0.366018555084,0.260312790231,0.165,0.86970268871,0.911098710652,0.842665429049,0.866715747907,0.0684104770612,0.0380771914715,0.089908874555,0.0656086784556,0.0726566642237,-0.418171821848,0.221433920217,0.175404408204,-0.178967397583,0.283542884769,0.128427399525,0.0,2.20525982436e-05,1.58380516431e-05,2.57085511248e-05,2.49708747596e-05,0.0116974100818,0.0116983472384,0.0116967468795,0.011698160541,0.1354113268,0.333301594431,0.0896278201503,0.120406365915,0.277083289446,0.0824756703148,0.131885390707
21,Petroleum and natural gas,0.0751,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0768911366561,0.0472710117242,0.0980669868958,0.0751030871865,0.17493741465,-0.142349148673,0.28620219489,0.266350928241,0.0503319963115,0.343142063118,0.238608129499,0.0751,0.869724741308,0.911114548704,0.8426911376,0.866740969384,0.062101562505,0.0337727991329,0.0822906624261,0.0612428700857,-0.0215523964463,-0.598919881869,0.149356707842,0.0916335186759,-0.329228506046,0.217215526061,0.0662957758952,0.0,-0.0447536859358,-0.0321418447493,-0.0521731004293,-0.0456047413232,0.0147895741512,0.0134982125912,0.0157763244697,0.0138602171009,0.196489811096,0.456570733197,0.136845487048,0.174717409566,0.379560502357,0.125926537057,0.172312353604
